disease	drug	proximity	pval
Language Disorders	zaleplon	2	0.490891907
Language Disorders	zanamivir	2	0.280211832
Language Disorders	zanubrutinib	1.266666667	0.140145835
Language Disorders	zidovudine	2	0.791720028
Language Disorders	zileuton	1	0.034338783
Language Disorders	zimelidine	1.333333333	0.002560727
Language Disorders	zinc	1.739130435	0.854070084
Language Disorders	zinc acetate	1.739130435	0.889248615
Language Disorders	zinc chloride	1.739130435	0.875262585
Language Disorders	ziprasidone	1.72	0.005229695
Language Disorders	zofenopril	1	0.006502383
Language Disorders	zoledronic acid	2	0.480406943
Language Disorders	zolmitriptan	2.25	0.825611679
Language Disorders	zolpidem	2	0.361163433
Language Disorders	zonisamide	2.08	0.725656311
Language Disorders	zopiclone	2	0.241300841
Language Disorders	zotepine	0.75	5.13E-13
Language Disorders	zucapsaicin	2	0.617911422
Language Disorders	zuclopenthixol	0.857142857	1.50E-12
Memory Disorders	2-mercaptobenzothiazole	2	0.443484292
Memory Disorders	5-o-phosphono-alpha-d-ribofuranosyl diphosphate	2	0.771048999
Memory Disorders	abaloparatide	2	0.663277069
Memory Disorders	abarelix	2	0.421016795
Memory Disorders	abatacept	2	0.605615913
Memory Disorders	abciximab	1.692307692	0.401640287
Memory Disorders	abemaciclib	1.5	0.976703148
Memory Disorders	abiraterone	2	0.702218206
Memory Disorders	acalabrutinib	1	0.350260214
Memory Disorders	acamprosate	1.476190476	3.40E-07
Memory Disorders	acarbose	2	0.505051532
Memory Disorders	acebutolol	0.5	0.012780076
Memory Disorders	aceclofenac	2	0.761446394
Memory Disorders	acemetacin	2	0.749629236
Memory Disorders	acenocoumarol	1	0.247443801
Memory Disorders	acetaminophen	1.5	0.311659631
Memory Disorders	acetazolamide	1.571428571	0.021737938
Memory Disorders	acetohexamide	1	0.005026772
Memory Disorders	acetohydroxamic acid	2	0.513236346
Memory Disorders	acetophenazine	1	0.006073068
Memory Disorders	acetylcholine	1.666666667	0.066536731
Memory Disorders	acetylcysteine	1.1	4.42E-05
Memory Disorders	acetyldigitoxin	1	0.321737792
Memory Disorders	acetylsalicylic acid	1.392857143	0.748232629
Memory Disorders	acitretin	1.142857143	0.046743634
Memory Disorders	aclidinium	2	0.625892924
Memory Disorders	acrivastine	1	0.000370198
Memory Disorders	adalimumab	0	0.023548759
Memory Disorders	adapalene	1.142857143	0.041500865
Memory Disorders	ademetionine	1.5	0.012605496
Memory Disorders	adenine	1.833333333	0.869040549
Memory Disorders	adenosine	1.75	0.189698208
Memory Disorders	adenosine phosphate	1.466666667	0.088131426
Memory Disorders	afamelanotide	2	0.737578529
Memory Disorders	afatinib	1	0.242497251
Memory Disorders	aflibercept	1.666666667	0.287966992
Memory Disorders	agkistrodon piscivorus antivenin	3	0.978051511
Memory Disorders	agomelatine	1.666666667	0.458598537
Memory Disorders	ajmaline	2	0.737578529
Memory Disorders	albiglutide	2	0.836648164
Memory Disorders	albutrepenonacog alfa	1	0.12479643
Memory Disorders	alcaftadine	1	0.003059102
Memory Disorders	alclofenac	2	0.801418106
Memory Disorders	alclometasone	1	0.443484292
Memory Disorders	aldesleukin	1.333333333	0.11087599
Memory Disorders	alectinib	2	0.870384317
Memory Disorders	alefacept	2	0.924349197
Memory Disorders	alemtuzumab	2.1	0.957307097
Memory Disorders	alendronic acid	1.6	0.551654421
Memory Disorders	alfacalcidol	1	0.303301766
Memory Disorders	alfentanil	2	0.712114495
Memory Disorders	alfuzosin	1	6.85E-06
Memory Disorders	alglucosidase alfa	2	0.706709131
Memory Disorders	alimemazine	1	0.004954394
Memory Disorders	alirocumab	1	0.019968885
Memory Disorders	aliskiren	1	0.001418066
Memory Disorders	alitretinoin	1.222222222	0.010640049
Memory Disorders	allopurinol	2	0.602636553
Memory Disorders	almitrine	1	0.33127319
Memory Disorders	almotriptan	2	0.509108093
Memory Disorders	alogliptin	2	0.781997513
Memory Disorders	alosetron	2	0.59334829
Memory Disorders	alpelisib	1	0.25241154
Memory Disorders	alpha-1-proteinase inhibitor	1	0.087559238
Memory Disorders	alpha-linolenic acid	1.4	0.081760837
Memory Disorders	alpha-tocopherol succinate	1.222222222	0.048181146
Memory Disorders	alprazolam	1.857142857	0.050046726
Memory Disorders	alprostadil	1.666666667	0.059516449
Memory Disorders	alteplase	0.75	0.00044094
Memory Disorders	aluminium	1.25	0.156483445
Memory Disorders	aluminium phosphate	1.25	0.130825545
Memory Disorders	aluminum acetate	1.25	0.173084608
Memory Disorders	aluminum chloride	2	0.77223895
Memory Disorders	alverine	2	0.644964041
Memory Disorders	alvimopan	1.666666667	0.384467577
Memory Disorders	amantadine	1	7.63E-11
Memory Disorders	ambenonium	2	0.70423751
Memory Disorders	ambrisentan	1.5	0.171893443
Memory Disorders	amcinonide	1	0.361465073
Memory Disorders	amifampridine	2	0.663277069
Memory Disorders	amifostine	2	0.366478412
Memory Disorders	amiloride	1	7.79E-07
Memory Disorders	aminocaproic acid	1	0.021510304
Memory Disorders	aminoglutethimide	1	0.000141918
Memory Disorders	aminolevulinic acid	2	0.712711693
Memory Disorders	aminophylline	1.5	0.225582156
Memory Disorders	aminosalicylic acid	1.333333333	0.301216332
Memory Disorders	amiodarone	1.142857143	0.007021382
Memory Disorders	amisulpride	0.75	0.000104512
Memory Disorders	amitriptyline	1.59375	7.71E-05
Memory Disorders	amlexanox	2.25	0.939158223
Memory Disorders	amlodipine	1.571428571	0.025593104
Memory Disorders	amobarbital	1.6	0.00635841
Memory Disorders	amodiaquine	2	0.615393999
Memory Disorders	amoxapine	1.56097561	2.94E-07
Memory Disorders	amphetamine	1.058823529	4.66E-19
Memory Disorders	ampicillin	2.666666667	0.994740691
Memory Disorders	amrinone	0.75	1.59E-05
Memory Disorders	amsacrine	1	0.012741649
Memory Disorders	amyl nitrite	1	0.050688854
Memory Disorders	amylmetacresol	1	0.004445649
Memory Disorders	amylocaine	1.571428571	0.007578019
Memory Disorders	anagrelide	1	0.086520653
Memory Disorders	anakinra	1	0.091254102
Memory Disorders	anastrozole	1	0.000509398
Memory Disorders	ancestim	1	0.45162491
Memory Disorders	ancrod	1	0.144079362
Memory Disorders	andexanet alfa	2	0.717170456
Memory Disorders	angiotensin ii	0	0.001099902
Memory Disorders	anileridine	2	0.753106815
Memory Disorders	anisindione	1	0.008929131
Memory Disorders	anisotropine methylbromide	2	0.688448681
Memory Disorders	anistreplase	0.75	0.00422045
Memory Disorders	antazoline	1	0.000370198
Memory Disorders	anthralin	1.333333333	0.094987904
Memory Disorders	anti-inhibitor coagulant complex	1	3.41E-06
Memory Disorders	"antihemophilic factor (recombinant), pegylated"	2	0.71788475
Memory Disorders	antihemophilic factor human	1	0.011518849
Memory Disorders	"antihemophilic factor, human recombinant"	1.363636364	0.102739241
Memory Disorders	antipyrine	2	0.810329848
Memory Disorders	antithrombin alfa	1	0.067190178
Memory Disorders	antithrombin iii human	2	0.625042839
Memory Disorders	antithymocyte immunoglobulin (rabbit)	1.444444444	0.108719187
Memory Disorders	antrafenine	2	0.760551101
Memory Disorders	apalutamide	1.785714286	0.060704238
Memory Disorders	apixaban	1	0.077134655
Memory Disorders	apomorphine	1.4	1.25E-09
Memory Disorders	apraclonidine	1.666666667	0.225412471
Memory Disorders	aprepitant	2	0.56945295
Memory Disorders	aprotinin	1.75	0.517335057
Memory Disorders	arbutamine	0.333333333	2.03E-07
Memory Disorders	arbutin	2	0.564207201
Memory Disorders	ardeparin	2	0.646236753
Memory Disorders	arformoterol	0	0.096008614
Memory Disorders	argatroban	1	0.168165782
Memory Disorders	aripiprazole	1.348837209	4.91E-15
Memory Disorders	aripiprazole lauroxil	1.56	2.12E-06
Memory Disorders	armodafinil	0	6.91E-05
Memory Disorders	arsenic trioxide	0.9	0.096205241
Memory Disorders	ascorbic acid	1.826086957	0.569899961
Memory Disorders	asenapine	1.315789474	4.78E-06
Memory Disorders	asfotase alfa	1	0.008929131
Memory Disorders	asparagine	1.666666667	0.340783446
Memory Disorders	aspartic acid	1.65	0.365182585
Memory Disorders	astemizole	1	0.000941123
Memory Disorders	atenolol	0.5	0.017953568
Memory Disorders	atezolizumab	2	0.519863769
Memory Disorders	atomoxetine	1	2.32E-07
Memory Disorders	atorvastatin	1.2	0.038922493
Memory Disorders	atosiban	1.25	0.000295139
Memory Disorders	atovaquone	2	0.662018519
Memory Disorders	atracurium besylate	3	0.989123879
Memory Disorders	atropine	2	0.607070774
Memory Disorders	auranofin	1	0.145634116
Memory Disorders	aurothioglucose	1.666666667	0.104743149
Memory Disorders	avanafil	2	0.592688763
Memory Disorders	avatrombopag	2	0.629687858
Memory Disorders	avelumab	2	0.578983205
Memory Disorders	axicabtagene ciloleucel	2	0.759427901
Memory Disorders	axitinib	1.333333333	0.233785767
Memory Disorders	azacitidine	1	0.257403133
Memory Disorders	azatadine	1	0.000370198
Memory Disorders	azathioprine	1.5	0.77223895
Memory Disorders	azelaic acid	2	0.585053801
Memory Disorders	azelastine	1.5	0.010388075
Memory Disorders	azilsartan medoxomil	0	0.002247372
Memory Disorders	azithromycin	2	0.636755338
Memory Disorders	bacitracin	1	0.313974599
Memory Disorders	baclofen	2	0.776823279
Memory Disorders	balsalazide	1.25	0.090951965
Memory Disorders	baricitinib	1.25	0.625623118
Memory Disorders	basiliximab	1.916666667	0.836051788
Memory Disorders	becaplermin	0.666666667	0.05791831
Memory Disorders	beclomethasone dipropionate	1	0.443484292
Memory Disorders	belatacept	2	0.669894313
Memory Disorders	belimumab	2	0.615900914
Memory Disorders	belinostat	1.181818182	0.546477219
Memory Disorders	bemiparin	1.666666667	0.359405481
Memory Disorders	benazepril	0	9.27E-10
Memory Disorders	bendazac	2	0.747791673
Memory Disorders	bendroflumethiazide	1.2	4.77E-05
Memory Disorders	benralizumab	2	0.732220182
Memory Disorders	benserazide	2	0.457401744
Memory Disorders	benzatropine	1	8.27E-06
Memory Disorders	benzocaine	2	0.509629169
Memory Disorders	benzoic acid	2	0.777449065
Memory Disorders	benzonatate	2	0.73316308
Memory Disorders	benzphetamine	1	3.73E-05
Memory Disorders	benzthiazide	1.5	0.027793991
Memory Disorders	benzylpenicillin	3	0.998760035
Memory Disorders	benzylpenicilloyl polylysine	2	0.702594767
Memory Disorders	bepotastine	1	0.001385596
Memory Disorders	bepridil	1.6	0.310770523
Memory Disorders	berberine	1	0.155031411
Memory Disorders	betahistine	2	0.388235763
Memory Disorders	betamethasone	1	0.409719816
Memory Disorders	betaxolol	0.5	0.012692636
Memory Disorders	betazole	2	0.303977175
Memory Disorders	bethanechol	2	0.722547262
Memory Disorders	bethanidine	1.142857143	4.14E-06
Memory Disorders	betrixaban	1	0.078132659
Memory Disorders	bevacizumab	1.9	0.805814671
Memory Disorders	bexarotene	1	0.100132912
Memory Disorders	bezafibrate	1	0.009923418
Memory Disorders	bilastine	1	0.004954394
Memory Disorders	bimatoprost	1.666666667	0.208224176
Memory Disorders	binimetinib	0.8	3.96E-05
Memory Disorders	bioallethrin	1.892857143	0.274638878
Memory Disorders	biotin	1.555555556	0.224295027
Memory Disorders	biperiden	2.5	0.950703838
Memory Disorders	bisoprolol	0.5	0.017409882
Memory Disorders	bivalirudin	1	0.219046099
Memory Disorders	bleomycin	2	0.861048685
Memory Disorders	blinatumomab	2	0.82683666
Memory Disorders	bortezomib	1.5	0.912252968
Memory Disorders	bosentan	1.5	0.111195683
Memory Disorders	bosutinib	1.3	0.777373736
Memory Disorders	botulinum toxin type a	1.5	0.415368049
Memory Disorders	botulinum toxin type b	1.666666667	0.427460011
Memory Disorders	bremelanotide	2	0.742349089
Memory Disorders	brentuximab vedotin	2	0.636755338
Memory Disorders	bretylium	1	0.27626994
Memory Disorders	brexanolone	1.846153846	0.020732003
Memory Disorders	brexpiprazole	1.2	0.002029734
Memory Disorders	brigatinib	1.222222222	0.58784138
Memory Disorders	brimonidine	2	0.659216554
Memory Disorders	brinzolamide	1.4	0.000169367
Memory Disorders	brivaracetam	1.545454545	0.000599817
Memory Disorders	brolucizumab	1	0.097085996
Memory Disorders	bromazepam	1.733333333	0.004625658
Memory Disorders	bromfenac	2	0.707607565
Memory Disorders	bromocriptine	1.277777778	1.40E-08
Memory Disorders	bromodiphenhydramine	1	0.003059102
Memory Disorders	brompheniramine	1.833333333	0.241254497
Memory Disorders	buclizine	1.5	0.077027013
Memory Disorders	budesonide	1	0.344044106
Memory Disorders	bufexamac	1.75	0.809561487
Memory Disorders	bumetanide	2	0.900373193
Memory Disorders	bupivacaine	1.5	0.008659439
Memory Disorders	buprenorphine	1.75	0.40040701
Memory Disorders	bupropion	1.5	0.008675537
Memory Disorders	buserelin	2	0.515577398
Memory Disorders	buspirone	1	1.10E-06
Memory Disorders	butabarbital	1.647058824	0.000146046
Memory Disorders	butalbital	1.647058824	0.000441137
Memory Disorders	butamben	1.965517241	0.686721531
Memory Disorders	butenafine	2	0.515010203
Memory Disorders	butobarbital	1.6	0.000419461
Memory Disorders	butorphanol	1.666666667	0.358900772
Memory Disorders	butriptyline	0.666666667	5.10E-07
Memory Disorders	butylscopolamine	2	0.764303392
Memory Disorders	cabazitaxel	1	0.165861978
Memory Disorders	cabergoline	1.2	4.00E-08
Memory Disorders	cabozantinib	1	0.264525697
Memory Disorders	caffeine	1.71875	0.065669592
Memory Disorders	calcifediol	1	0.314940479
Memory Disorders	calcipotriol	1	0.337981481
Memory Disorders	calcitriol	1.5	0.621402843
Memory Disorders	calcium	1.684210526	0.527606023
Memory Disorders	calcium carbimide	2	0.32720537
Memory Disorders	calcium chloride	2	0.702218206
Memory Disorders	calcium citrate	1.387096774	7.34E-05
Memory Disorders	calcium levulinate	1.5	0.522943119
Memory Disorders	calcium phosphate	1.387096774	7.59E-06
Memory Disorders	calcium phosphate dihydrate	1.387096774	9.68E-06
Memory Disorders	camphor	1.75	0.097642253
Memory Disorders	canakinumab	1	0.023133954
Memory Disorders	candesartan cilexetil	0	0.00456523
Memory Disorders	cangrelor	2	0.305181856
Memory Disorders	cannabidiol	1.710526316	0.011362714
Memory Disorders	cantharidin	1	0.164710009
Memory Disorders	capecitabine	2	0.82702182
Memory Disorders	caplacizumab	2	0.711965092
Memory Disorders	capromab pendetide	2	0.433219432
Memory Disorders	capsaicin	1	0.036152176
Memory Disorders	capsicum oleoresin	1	0.023296852
Memory Disorders	captopril	1.4	0.030467365
Memory Disorders	carbamazepine	1.555555556	0.010661873
Memory Disorders	carbamoylcholine	2.166666667	0.928761958
Memory Disorders	carbetocin	2	0.564302646
Memory Disorders	carbidopa	2	0.489748698
Memory Disorders	carbimazole	2	0.416848089
Memory Disorders	carbinoxamine	1	0.008116575
Memory Disorders	carbocisteine	1	0.203428524
Memory Disorders	carbon monoxide	2	0.525138553
Memory Disorders	carboprost tromethamine	1	0.010384933
Memory Disorders	carboxin	1	0.277669818
Memory Disorders	carboxymethylcellulose	2	0.723014943
Memory Disorders	carfilzomib	1.5	0.752897299
Memory Disorders	carglumic acid	2	0.758036348
Memory Disorders	cariprazine	0.666666667	1.05E-09
Memory Disorders	carisoprodol	1.8	0.147459044
Memory Disorders	carmustine	2	0.752556199
Memory Disorders	carprofen	2	0.802013031
Memory Disorders	carteolol	0.5	0.022716858
Memory Disorders	carvedilol	1.222222222	4.09E-05
Memory Disorders	castor oil	2	0.740741503
Memory Disorders	catridecacog	2	0.33384476
Memory Disorders	catumaxomab	2.142857143	0.976972837
Memory Disorders	cefazolin	1.333333333	0.003871212
Memory Disorders	cefdinir	1	0.000137263
Memory Disorders	cefotaxime	2.333333333	0.986272379
Memory Disorders	ceftriaxone	2.333333333	0.843534481
Memory Disorders	celecoxib	1.75	0.656480371
Memory Disorders	celiprolol	1.166666667	0.000735086
Memory Disorders	cemiplimab	2	0.513236346
Memory Disorders	cenegermin	1	0.188495386
Memory Disorders	ceritinib	2	0.87653625
Memory Disorders	cerivastatin	2	0.711965092
Memory Disorders	cerliponase alfa	1	0.10187677
Memory Disorders	certolizumab pegol	0	0.029048109
Memory Disorders	ceruletide	2	0.5
Memory Disorders	cetirizine	1	0.000143541
Memory Disorders	cetrorelix	2	0.628854285
Memory Disorders	cetuximab	1.909090909	0.918870678
Memory Disorders	cevimeline	2	0.717845951
Memory Disorders	chenodeoxycholic acid	1.666666667	0.347493335
Memory Disorders	chloramphenicol	2	0.74758846
Memory Disorders	chlorcyclizine	1	0.015712763
Memory Disorders	chlordiazepoxide	1.846153846	0.033651776
Memory Disorders	chlorhexidine	2	0.629927932
Memory Disorders	chlormerodrin	1.5	0.075330008
Memory Disorders	chlormezanone	2	0.609166304
Memory Disorders	chlorobutanol	1	0.082831125
Memory Disorders	chloroprocaine	1.25	0.000505795
Memory Disorders	chloroquine	1.333333333	0.119605305
Memory Disorders	chlorothiazide	1.333333333	0.010063658
Memory Disorders	chlorpheniramine	0.75	3.66E-08
Memory Disorders	chlorpromazine	1.307692308	4.45E-11
Memory Disorders	chlorpropamide	2	0.575927349
Memory Disorders	chlorprothixene	1.25	1.13E-09
Memory Disorders	chlorthalidone	1	1.44E-08
Memory Disorders	chlorzoxazone	1	0.045787005
Memory Disorders	cholecalciferol	1	0.344044106
Memory Disorders	cholecystokinin	1.333333333	0.290104453
Memory Disorders	cholesterol	0.666666667	0.000158588
Memory Disorders	choline	1.571428571	0.055435658
Memory Disorders	choline magnesium trisalicylate	2	0.754728197
Memory Disorders	choline salicylate	1.571428571	0.05010688
Memory Disorders	chondroitin sulfate	1	0.000697973
Memory Disorders	choriogonadotropin alfa	2	0.712114495
Memory Disorders	chorionic gonadotropin (human)	2	0.679454089
Memory Disorders	chromic chloride	1	0.384606001
Memory Disorders	chromic nitrate	1	0.003525365
Memory Disorders	chromium	1	0.02681328
Memory Disorders	chromium gluconate	1	0.072492415
Memory Disorders	chromium nicotinate	1	0.086520653
Memory Disorders	chromous sulfate	1	0.050688854
Memory Disorders	chymopapain	1	0.006744007
Memory Disorders	ciclesonide	1	0.43054705
Memory Disorders	ciclopirox	1	0.298117533
Memory Disorders	cilastatin	2	0.457401744
Memory Disorders	cilazapril	0	9.27E-10
Memory Disorders	cilostazol	1	0.073469188
Memory Disorders	cimetidine	2	0.284740905
Memory Disorders	cinacalcet	1	0.000778463
Memory Disorders	cinchocaine	1.666666667	0.6208336
Memory Disorders	cinnarizine	1.6875	0.009305349
Memory Disorders	ciprofibrate	1	0.159871187
Memory Disorders	ciprofloxacin	1	0.051385719
Memory Disorders	cisapride	1.25	0.016086373
Memory Disorders	cisatracurium	3	0.979485269
Memory Disorders	cisplatin	1	0.051492669
Memory Disorders	citalopram	0.5	2.70E-06
Memory Disorders	citric acid	2	0.979701657
Memory Disorders	citrulline	1.583333333	0.032247157
Memory Disorders	cladribine	2	0.986736203
Memory Disorders	clarithromycin	1	0.11998014
Memory Disorders	clemastine	1	0.003466974
Memory Disorders	clenbuterol	0.2	8.34E-13
Memory Disorders	clevidipine	2	0.700708968
Memory Disorders	clidinium	2	0.539827837
Memory Disorders	clobazam	1.846153846	0.044015353
Memory Disorders	clobetasol propionate	1	0.409719816
Memory Disorders	clobetasone	1	0.460172163
Memory Disorders	clocortolone	1	0.419528061
Memory Disorders	clodronic acid	1	0.113624305
Memory Disorders	clofarabine	2	0.879147701
Memory Disorders	clofazimine	2	0.576237902
Memory Disorders	clofedanol	1	0.002281057
Memory Disorders	clofibrate	1	0.193738942
Memory Disorders	clomifene	0.5	0.159871187
Memory Disorders	clomipramine	0.833333333	1.70E-10
Memory Disorders	clonazepam	1.8	0.013520301
Memory Disorders	clonidine	1.5	0.004166993
Memory Disorders	clopidogrel	2	0.350713341
Memory Disorders	clorazepic acid	1.857142857	0.04585497
Memory Disorders	clotiazepam	1.692307692	0.001257411
Memory Disorders	clotrimazole	1.5	0.136081021
Memory Disorders	clove oil	1.75	0.87777824
Memory Disorders	clozapine	1.666666667	0.007623336
Memory Disorders	coagulation factor ix (recombinant)	0.857142857	4.09E-05
Memory Disorders	coagulation factor ix human	0.857142857	7.41E-06
Memory Disorders	coagulation factor vii human	1	0.001343674
Memory Disorders	coagulation factor viia recombinant human	1	1.51E-06
Memory Disorders	cobimetinib	1	0.314940479
Memory Disorders	cocaine	1.555555556	0.007742797
Memory Disorders	coccidioides immitis spherule	1.714285714	0.741986367
Memory Disorders	codeine	1.666666667	0.396000457
Memory Disorders	collagenase clostridium histolyticum	1.5	0.413855364
Memory Disorders	conestat alfa	1.666666667	0.369204521
Memory Disorders	conivaptan	1	0.000358549
Memory Disorders	copanlisib	1.5	0.493643286
Memory Disorders	copper	1.360294118	2.48E-06
Memory Disorders	corifollitropin alfa	2	0.706709131
Memory Disorders	corticorelin ovine triflutate	2	0.669116496
Memory Disorders	corticotropin	2	0.544681519
Memory Disorders	cortisone acetate	1	0.419528061
Memory Disorders	creatine	1.714285714	0.284939771
Memory Disorders	crisaborole	1.5	0.064392372
Memory Disorders	crizanlizumab	2	0.649739786
Memory Disorders	crizotinib	1.5	0.847768887
Memory Disorders	crofelemer	1.5	0.414681534
Memory Disorders	cromoglicic acid	1.5	0.283760342
Memory Disorders	crotalus adamanteus antivenin	3	0.991070869
Memory Disorders	cryptenamine	2	0.529995452
Memory Disorders	cupric chloride	1.5	0.295607645
Memory Disorders	curcumin	0.8	0.001404381
Memory Disorders	cyanocobalamin	1.833333333	0.203428524
Memory Disorders	cyclandelate	2	0.565406593
Memory Disorders	cyclizine	1.5	0.090058001
Memory Disorders	cyclobenzaprine	1.333333333	0.001494165
Memory Disorders	cyclopentolate	2	0.511012044
Memory Disorders	cyclophosphamide	1	0.082831125
Memory Disorders	cyclosporine	1.5	0.420033619
Memory Disorders	cyclothiazide	1.4	0.000770499
Memory Disorders	cycrimine	2	0.533104457
Memory Disorders	cyproheptadine	1.571428571	0.082596239
Memory Disorders	cyproterone acetate	1	0.030316224
Memory Disorders	cysteamine	2	0.491336621
Memory Disorders	cysteine	1.615384615	0.104101746
Memory Disorders	cystine	2.333333333	0.941339442
Memory Disorders	cytarabine	1	0.101585996
Memory Disorders	d-alpha-tocopherol acetate	1.222222222	0.1046547
Memory Disorders	d-methionine	2	0.737578529
Memory Disorders	d-serine	1	0.067287339
Memory Disorders	dabigatran etexilate	1	0.202997535
Memory Disorders	dabrafenib	1.4	0.416002014
Memory Disorders	dacarbazine	2	0.928604209
Memory Disorders	dactinomycin	1	0.181587526
Memory Disorders	dalfampridine	1.857142857	0.374028352
Memory Disorders	dalteparin	1.75	0.404653594
Memory Disorders	damoctocog alfa pegol	1	0.046615177
Memory Disorders	danaparoid	2	0.673753328
Memory Disorders	danazol	1	0.11379321
Memory Disorders	dantrolene	1	0.064026248
Memory Disorders	dapiprazole	1	3.28E-05
Memory Disorders	daratumumab	2	0.648476303
Memory Disorders	darbepoetin alfa	2	0.849592517
Memory Disorders	darifenacin	2	0.46949888
Memory Disorders	darolutamide	1	0.298602921
Memory Disorders	dasatinib	1.347826087	0.784131452
Memory Disorders	daunorubicin	1	0.152138224
Memory Disorders	debrisoquine	2	0.518725996
Memory Disorders	decamethonium	2.25	0.964876545
Memory Disorders	decitabine	1	0.326246672
Memory Disorders	defibrotide	1.666666667	0.194308544
Memory Disorders	deflazacort	1	0.409719816
Memory Disorders	degarelix	2	0.350260214
Memory Disorders	demecarium	2.5	0.936381306
Memory Disorders	denileukin diftitox	1.333333333	0.0860169
Memory Disorders	denosumab	1	0.125987014
Memory Disorders	deoxycholic acid	1.333333333	0.210222178
Memory Disorders	dequalinium	1.666666667	0.531849286
Memory Disorders	deserpidine	1	0.004445649
Memory Disorders	desflurane	1.777777778	0.012032261
Memory Disorders	desipramine	1.333333333	1.08E-08
Memory Disorders	deslanoside	1	0.321737792
Memory Disorders	desloratadine	1	0.013472051
Memory Disorders	desmopressin	1	5.13E-07
Memory Disorders	desogestrel	0.5	0.272551234
Memory Disorders	desonide	1	0.400760484
Memory Disorders	desoximetasone	1	0.443484292
Memory Disorders	desoxycorticosterone acetate	2	0.7921613
Memory Disorders	desvenlafaxine	0.666666667	1.90E-07
Memory Disorders	deutetrabenazine	1	0.001385596
Memory Disorders	dexamethasone	1	0.035170068
Memory Disorders	dexbrompheniramine	1	0.00035751
Memory Disorders	dexchlorpheniramine maleate	1	0.000778463
Memory Disorders	dexfenfluramine	0.5	4.38E-07
Memory Disorders	dexibuprofen	1.416666667	0.052695059
Memory Disorders	dexketoprofen	2	0.739334195
Memory Disorders	dexlansoprazole	2	0.895907267
Memory Disorders	dexmedetomidine	2	0.673753328
Memory Disorders	dexmethylphenidate	0.666666667	2.81E-06
Memory Disorders	dexrazoxane	1	0.133059448
Memory Disorders	dextroamphetamine	1	4.45E-05
Memory Disorders	dextromethorphan	1.523809524	0.001526264
Memory Disorders	dextropropoxyphene	1.75	0.444263458
Memory Disorders	dextrothyroxine	1.333333333	0.216213539
Memory Disorders	dezocine	2	0.832022705
Memory Disorders	diacerein	1.333333333	0.000101295
Memory Disorders	diamorphine	1.75	0.447727214
Memory Disorders	diazepam	1.75	0.009103627
Memory Disorders	diazoxide	1.333333333	0.035622639
Memory Disorders	dibotermin alfa	2	0.974341524
Memory Disorders	dichloroacetic acid	2	0.805691456
Memory Disorders	dichlorobenzyl alcohol	1.6	0.001925557
Memory Disorders	diclofenac	2	0.78550112
Memory Disorders	diclofenamide	1.25	0.000162994
Memory Disorders	dicoumarol	1.666666667	0.645644944
Memory Disorders	dicyclomine	2	0.673130857
Memory Disorders	didanosine	2	0.796571476
Memory Disorders	dienestrol	0.5	0.233724458
Memory Disorders	dienogest	1	0.267469697
Memory Disorders	diethylcarbamazine	1.5	0.178478394
Memory Disorders	diethylpropion	1	0.004505991
Memory Disorders	diethylstilbestrol	1.111111111	0.14700739
Memory Disorders	diflorasone	1	0.43054705
Memory Disorders	diflunisal	2	0.755856097
Memory Disorders	difluocortolone	1.5	0.682914207
Memory Disorders	difluprednate	1	0.400760484
Memory Disorders	digitoxin	1	0.356003852
Memory Disorders	digoxin	1	0.315277677
Memory Disorders	dihydro-alpha-ergocryptine	0.5	4.41E-11
Memory Disorders	dihydroergocornine	1.583333333	0.000446067
Memory Disorders	dihydroergocristine	1.448275862	2.23E-07
Memory Disorders	dihydroergotamine	1.5	0.013955718
Memory Disorders	dihydrotachysterol	1	0.344044106
Memory Disorders	diltiazem	2.5	0.932809822
Memory Disorders	dimenhydrinate	1	0.016878432
Memory Disorders	dimethyl fumarate	1	0.303977175
Memory Disorders	dimetindene	1.5	0.033605244
Memory Disorders	dinoprost	2	0.602371789
Memory Disorders	dinoprost tromethamine	1.5	0.093864412
Memory Disorders	dinoprostone	1.8	0.230187311
Memory Disorders	diosmin	1	0.169547988
Memory Disorders	dioxybenzone	1	0.242690865
Memory Disorders	diphemanil	2	0.667945863
Memory Disorders	diphenhydramine	1.5	0.037547176
Memory Disorders	diphenidol	2	0.662766495
Memory Disorders	diphenoxylate	1.5	0.300744793
Memory Disorders	diphenylpyraline	0.5	6.45E-07
Memory Disorders	dipivefrin	1.6	0.403137066
Memory Disorders	dipyridamole	1.666666667	0.071751358
Memory Disorders	dipyrithione	1.5	0.625149392
Memory Disorders	disopyramide	1.75	0.415162129
Memory Disorders	disulfiram	2	0.736974385
Memory Disorders	dl-methylephedrine	1.111111111	4.76E-08
Memory Disorders	dobutamine	0.666666667	2.61E-06
Memory Disorders	docetaxel	0.666666667	0.000552363
Memory Disorders	doconexent	0.833333333	0.002938008
Memory Disorders	dofetilide	1	0.035570596
Memory Disorders	dolasetron	2	0.607564331
Memory Disorders	domperidone	0	8.58E-07
Memory Disorders	donepezil	1.133333333	1.92E-07
Memory Disorders	dopamine	1.266666667	9.57E-09
Memory Disorders	dorzolamide	1.25	9.82E-05
Memory Disorders	dosulepin	1.5625	0.00026723
Memory Disorders	dotatate gallium ga-68	1	0.034338783
Memory Disorders	doxacurium	2.5	0.991320771
