disease	drug	proximity	pval
Alzheimer Disease	daratumumab	1	0.485499229
Alzheimer Disease	darbepoetin alfa	1	0.706709131
Alzheimer Disease	darifenacin	0.8	0.008432523
Alzheimer Disease	darolutamide	0.5	0.27416344
Alzheimer Disease	dasatinib	0.608695652	0.004152711
Alzheimer Disease	daunorubicin	1	0.673753328
Alzheimer Disease	debrisoquine	1	0.301665886
Alzheimer Disease	decamethonium	0.25	0.000116191
Alzheimer Disease	decitabine	0	0.059752625
Alzheimer Disease	defibrotide	1.333333333	0.835289991
Alzheimer Disease	degarelix	1	0.1694712
Alzheimer Disease	demecarium	0	0.000352503
Alzheimer Disease	denileukin diftitox	0.666666667	0.155422539
Alzheimer Disease	denosumab	0	0.004954394
Alzheimer Disease	deoxycholic acid	0.333333333	0.010474883
Alzheimer Disease	dequalinium	1	0.221194663
Alzheimer Disease	deserpidine	1	0.408394057
Alzheimer Disease	desflurane	1.277777778	0.333615172
Alzheimer Disease	desipramine	0.476190476	7.92E-07
Alzheimer Disease	deslanoside	1	0.580471939
Alzheimer Disease	desloratadine	1	0.376141475
Alzheimer Disease	desmopressin	1	0.179130154
Alzheimer Disease	desogestrel	0.5	0.629927932
Alzheimer Disease	desoxycorticosterone acetate	0	7.22E-06
Alzheimer Disease	desvenlafaxine	0.333333333	0.001306053
Alzheimer Disease	deutetrabenazine	1	0.370072068
Alzheimer Disease	dexamethasone	0.4	4.29E-05
Alzheimer Disease	dexbrompheniramine	1	0.366447201
Alzheimer Disease	dexchlorpheniramine maleate	1	0.425326543
Alzheimer Disease	dexfenfluramine	0	0.000382675
Alzheimer Disease	dexibuprofen	0.583333333	0.00057109
Alzheimer Disease	dexketoprofen	0	0.001317948
Alzheimer Disease	dexlansoprazole	1	0.434043949
Alzheimer Disease	dexmedetomidine	0	0.001482464
Alzheimer Disease	dexmethylphenidate	0.333333333	0.004286915
Alzheimer Disease	dexrazoxane	1	0.669116496
Alzheimer Disease	dextroamphetamine	0.6	0.019535189
Alzheimer Disease	dextromethorphan	0.619047619	4.75E-05
Alzheimer Disease	dextropropoxyphene	1	0.429120002
Alzheimer Disease	dextrothyroxine	0.666666667	0.0653715
Alzheimer Disease	dezocine	1	0.628854285
Alzheimer Disease	diacerein	0.222222222	1.36E-07
Alzheimer Disease	diamorphine	1	0.400239567
Alzheimer Disease	diazepam	1.1875	0.105810709
Alzheimer Disease	diazoxide	0.5	0.000937273
Alzheimer Disease	dibotermin alfa	0.5	0.152956932
Alzheimer Disease	dichloroacetic acid	0.5	0.105153344
Alzheimer Disease	dichlorobenzyl alcohol	1.3	0.477771155
Alzheimer Disease	diclofenac	0	0.004705264
Alzheimer Disease	diclofenamide	0.75	0.047666514
Alzheimer Disease	dicoumarol	0.333333333	0.000904832
Alzheimer Disease	dicyclomine	0	0.001920768
Alzheimer Disease	didanosine	0	4.10E-05
Alzheimer Disease	dienestrol	0.5	0.673753328
Alzheimer Disease	dienogest	0.5	0.344726841
Alzheimer Disease	diethylcarbamazine	0	0.001163293
Alzheimer Disease	diethylpropion	0.5	0.068259914
Alzheimer Disease	diethylstilbestrol	0.555555556	0.142650648
Alzheimer Disease	diflunisal	0	0.002407693
Alzheimer Disease	difluocortolone	1	0.60137381
Alzheimer Disease	digitoxin	1	0.622825128
Alzheimer Disease	digoxin	1	0.629927932
Alzheimer Disease	dihydro-alpha-ergocryptine	0	1.44E-05
Alzheimer Disease	dihydroergocornine	0.791666667	0.0004616
Alzheimer Disease	dihydroergocristine	0.655172414	2.09E-07
Alzheimer Disease	dihydroergotamine	1	0.237884486
Alzheimer Disease	dihydrotachysterol	0	0.02681328
Alzheimer Disease	diltiazem	1	0.19747348
Alzheimer Disease	dimenhydrinate	1	0.366447201
Alzheimer Disease	dimethyl fumarate	0.5	0.003525365
Alzheimer Disease	dimetindene	0.5	0.065292432
Alzheimer Disease	dinoprost	2	0.87106296
Alzheimer Disease	dinoprost tromethamine	0	0.0003844
Alzheimer Disease	dinoprostone	0.4	0.000423991
Alzheimer Disease	diosmin	0	0.001418066
Alzheimer Disease	dioxybenzone	1	0.737578529
Alzheimer Disease	diphemanil	1	0.483785833
Alzheimer Disease	diphenhydramine	0.5	0.05793278
Alzheimer Disease	diphenidol	0.333333333	0.003698157
Alzheimer Disease	diphenoxylate	0.5	0.133634067
Alzheimer Disease	diphenylpyraline	0.5	0.039984255
Alzheimer Disease	dipivefrin	0	8.13E-06
Alzheimer Disease	dipyridamole	1	0.351859793
Alzheimer Disease	dipyrithione	0	0.001099902
Alzheimer Disease	disopyramide	0.75	0.014632131
