drug	disease.x	proximity.x	pval.x	similarity.x	adjusted_similarity.x	disease.y	proximity.y	pval.y	similarity.y	adjusted_similarity.y
sirolimus	Alzheimer Disease	0.333333333	0.003985452	0.91666666675	0.998223773135608	Alzheimer Disease	0.333333333	0.003985452	0.91666666675	0.998223773135608
sitagliptin	Alzheimer Disease	0	0.000370198	1	0.999498689431439	Alzheimer Disease	0	0.000370198	1	0.999498689431439
sitaxentan	Alzheimer Disease	0	0.001177637	1	0.999498689431439	Alzheimer Disease	0	0.001177637	1	0.999498689431439
sodium carbonate	Alzheimer Disease	0.5	0.005830425	0.875	0.759915570510543	Alzheimer Disease	0.5	0.005830425	0.875	0.759915570510543
sodium carbonate	Alzheimer Disease	0.5	0.005830425	0.875	0.759915570510543	Memory Disorders	1.25	0.001234983	0.6875	0.878194941649415
sodium sulfate	Alzheimer Disease	0.5	0.029151431	0.875	0.759915570510543	Alzheimer Disease	0.5	0.029151431	0.875	0.759915570510543
sodium sulfate	Alzheimer Disease	0.5	0.029151431	0.875	0.759915570510543	Memory Disorders	1	0.000841869	0.75	0.945098078077383
somatrem	Alzheimer Disease	0	1.81e-05	1	0.999498689431439	Alzheimer Disease	0	1.81e-05	1	0.999498689431439
sorafenib	Alzheimer Disease	0.6	0.011184218	0.85	0.711404818907248	Alzheimer Disease	0.6	0.011184218	0.85	0.711404818907248
sorafenib	Alzheimer Disease	0.6	0.011184218	0.85	0.711404818907248	Language Disorders	0.8	0.000131245	0.8	0.968779061072677
sotalol	Alzheimer Disease	0.333333333	0.008448413	0.91666666675	0.827624363017613	Language Disorders	1	0.001514903	0.75	0.939653140975545
sotalol	Alzheimer Disease	0.333333333	0.008448413	0.91666666675	0.827624363017613	Memory Disorders	0.666666667	0.00598439	0.83333333325	0.676022002084612
sotalol	Alzheimer Disease	0.333333333	0.008448413	0.91666666675	0.827624363017613	Alzheimer Disease	0.333333333	0.008448413	0.91666666675	0.827624363017613
soybean oil	Alzheimer Disease	0	7.22e-06	1	0.999498689431439	Alzheimer Disease	0	7.22e-06	1	0.999498689431439
spirapril	Alzheimer Disease	0	0.020018182	1	0.916996180685167	Amyloid Neuropathies	1	0.002616678	0.75	0.910611085269981
spirapril	Alzheimer Disease	0	0.020018182	1	0.916996180685167	Alzheimer Disease	0	0.020018182	1	0.916996180685167
spirapril	Alzheimer Disease	0	0.020018182	1	0.916996180685167	Memory Disorders	0	2.61e-14	1	0.916996180685167
spirapril	Alzheimer Disease	0	0.020018182	1	0.916996180685167	Language Disorders	1	0.001385596	0.75	0.475573630947114
spironolactone	Alzheimer Disease	0.833333333	1.06e-05	0.79166666675	0.988249510046994	Alzheimer Disease	0.833333333	1.06e-05	0.79166666675	0.988249510046994
stearic acid	Alzheimer Disease	0	0.000509095	1	0.916996180685167	Memory Disorders	1	0.003057268	0.75	0.945098078077383
stearic acid	Alzheimer Disease	0	0.000509095	1	0.916996180685167	Alzheimer Disease	0	0.000509095	1	0.916996180685167
succinylcholine	Alzheimer Disease	0.333333333	0.00395973	0.91666666675	0.998223773135608	Alzheimer Disease	0.333333333	0.00395973	0.91666666675	0.998223773135608
sucralfate	Alzheimer Disease	0.2	4.75e-08	0.95	0.870142204938429	Memory Disorders	0.8	1.85e-05	0.8	0.971858784474537
