disease	drug	proximity	pval	similarity	adjusted_similarity
Alzheimer Disease	dextromethorphan	0.619047619	4.75e-05	0.84523809525	0.701530711554085
Alzheimer Disease	diacerein	0.222222222	1.36e-07	0.9444444445	0.998834670243607
Alzheimer Disease	diazoxide	0.5	0.000937273	0.875	0.759915570510543
Alzheimer Disease	diclofenac	0	0.004705264	1	0.999498689431439
Alzheimer Disease	diclofenamide	0.75	0.047666514	0.8125	0.628833714233804
Alzheimer Disease	dicoumarol	0.333333333	0.000904832	0.91666666675	0.827624363017613
Alzheimer Disease	dicyclomine	0	0.001920768	1	0.999498689431439
Alzheimer Disease	didanosine	0	4.1e-05	1	0.999498689431439
Alzheimer Disease	diethylcarbamazine	0	0.001163293	1	0.999498689431439
Alzheimer Disease	diflunisal	0	0.002407693	1	0.999498689431439
Alzheimer Disease	dihydro-alpha-ergocryptine	0	1.44e-05	1	0.916996180685167
Alzheimer Disease	dihydroergocornine	0.791666667	0.0004616	0.80208333325	0.604212861332553
Alzheimer Disease	dihydroergocristine	0.655172414	2.09e-07	0.8362068965	0.682283470682554
Alzheimer Disease	dihydrotachysterol	0	0.02681328	1	0.999498689431439
Alzheimer Disease	dimethyl fumarate	0.5	0.003525365	0.875	0.759915570510543
Alzheimer Disease	dinoprost tromethamine	0	0.0003844	1	0.999498689431439
Alzheimer Disease	dinoprostone	0.4	0.000423991	0.9	0.997713004352496
Alzheimer Disease	diosmin	0	0.001418066	1	0.999498689431439
Alzheimer Disease	diphenidol	0.333333333	0.003698157	0.91666666675	0.998223773135608
Alzheimer Disease	diphenylpyraline	0.5	0.039984255	0.875	0.759915570510543
Alzheimer Disease	dipivefrin	0	8.13e-06	1	0.999498689431439
Alzheimer Disease	dipyrithione	0	0.001099902	1	0.999498689431439
Alzheimer Disease	disopyramide	0.75	0.014632131	0.8125	0.99141072500421
Alzheimer Disease	disulfiram	0	0.00103082	1	0.999498689431439
Alzheimer Disease	dl-methylephedrine	0.333333333	5.15e-05	0.91666666675	0.827624363017613
