TTD_association	drug	proximity	pval	similarity	adjusted_similarity
Gastrointestinal disease 	domperidone	0	0.00028507	1	0.916996180685167
Alzheimer disease 	donepezil	0.333333333	7.38e-09	0.91666666675	0.827624363017613
Parkinson disease 	dopamine	0.4	2.74e-06	0.9	0.802535407328769
Hypotension 	dopamine	0.4	2.74e-06	0.9	0.802535407328769
Open-angle glaucoma 	dorzolamide	0.75	0.017958535	0.8125	0.628833714233804
Spasm 	doxacurium	0.5	0.014169729	0.875	0.996659662454039
Respiratory disease 	doxapram	0.5	0.029237931	0.875	0.996659662454039
Hypertension 	doxazosin	0.8	0.030494095	0.8	0.599220125721511
Depression 	doxepin	0.789473684	0.000878876	0.802631579	0.605523182537791
Chronic kidney disease 	doxercalciferol	0	0.046615177	1	0.999498689431439
Tumour 	doxorubicin	0.5	0.013955718	0.875	0.996659662454039
Solid tumour/cancer 	doxorubicin	0.5	0.013955718	0.875	0.996659662454039
Morning sickness 	doxylamine	0.666666667	0.029917764	0.83333333325	0.676022002084612
Angina pectoris 	dronedarone	0.64	6.19e-06	0.84	0.69044845168056
Nausea 	droperidol	0	0.000791418	1	0.916996180685167
Contraception 	drospirenone	0.5	0.02491327	0.875	0.996659662454039
Cerebrovascular ischaemia 	drotrecogin alfa	0.583333333	0.000648601	0.85416666675	0.719883408623604
Severe sepsis 	drotrecogin alfa	0.583333333	0.000648601	0.85416666675	0.719883408623604
Neurogenic orthostatic hypotension 	droxidopa	0.4	2.62e-06	0.9	0.802535407328769
Depression 	duloxetine	0.333333333	0.007383403	0.91666666675	0.827624363017613
Asthma 	dupilumab	0	0.011195598	1	0.916996180685167
Atopic dermatitis 	dupilumab	0	0.011195598	1	0.916996180685167
Cutaneous candidiasis 	econazole	0	0.013955718	1	0.999498689431439
Tinea cruris 	econazole	0	0.013955718	1	0.999498689431439
Tinea pedis 	econazole	0	0.013955718	1	0.999498689431439
Tinea versicolor 	econazole	0	0.013955718	1	0.999498689431439
Tinea corporis 	econazole	0	0.013955718	1	0.999498689431439
Myasthenia gravis 	edrophonium	0	6.94e-05	1	0.999498689431439
Primary haemophagocytic lymphohistiocytosis 	emapalumab	0	0.025889998	1	0.916996180685167
Hypertension 	enalapril	0	0.027471422	1	0.916996180685167
Hypertension 	enalaprilat	0.5	0.048366326	0.875	0.759915570510543
Thrombosis 	enoxaparin	0	0.000561913	1	0.999498689431439
Venous thrombosis 	enoxaparin	0	0.000561913	1	0.999498689431439
Parkinson disease 	entacapone	0	0.001418066	1	0.916996180685167
Asthma 	ephedrine	0.5	0.018911456	0.875	0.996659662454039
Allergic conjunctivitis 	epinastine	0.5	0.000616415	0.875	0.759915570510543
Allergy 	epinephrine	0.25	3.63e-07	0.9375	0.855352842489066
Heart failure 	eplerenone	0	7.22e-06	1	0.999498689431439
Pulmonary hypertension 	epoprostenol	0	2.49e-05	1	0.999498689431439
Hypertension 	eprosartan	0	0.02681328	1	0.916996180685167
Urothelial carcinoma 	erdafitinib	0.333333333	1.72e-06	0.91666666675	0.998223773135608
Hypoparathyroidism 	ergocalciferol	0.954545455	0.004513367	0.76136363625	0.981504670826547
Alzheimer disease 	ergoloid mesylate	0.655172414	1.56e-07	0.8362068965	0.682283470682554
Headache 	ergotamine	0.5625	1.55e-05	0.859375	0.730264842070635
Pancreatic cancer 	erlotinib	0.5	0.011309699	0.875	0.996659662454039
Colon cancer 	erlotinib	0.5	0.011309699	0.875	0.996659662454039
Non-small-cell lung cancer 	erlotinib	0.5	0.011309699	0.875	0.996659662454039
Major depressive disorder 	escitalopram	0.4	6.41e-09	0.9	0.802535407328769
Depression 	esketamine	0.5	0.000308872	0.875	0.759915570510543
Acute supraventricular tachycardia 	esmolol	0	0.001418066	1	0.916996180685167
Breast cancer 	estradiol	0.285714286	0.001428131	0.9285714285	0.998517268863432
Hormone replacement therapy 	estradiol acetate	0.285714286	0.002237722	0.9285714285	0.998517268863432
Hormone replacement therapy 	estradiol cypionate	0.285714286	0.010535267	0.9285714285	0.998517268863432
Hormone replacement therapy 	estradiol valerate	0.285714286	0.000644678	0.9285714285	0.998517268863432
Menopausal and postmenopausal disorder 	estrone	0.2	0.02104129	0.95	0.870142204938429
Arthritis 	etanercept	0.769230769	0.036389811	0.80769230775	0.61754472156451
Sciatica 	etanercept	0.769230769	0.036389811	0.80769230775	0.61754472156451
Pemphigus vulgaris 	etanercept	0.769230769	0.036389811	0.80769230775	0.61754472156451
Secondary hyperparathyroidism 	etelcalcetide	0	0.018743134	1	0.916996180685167
Chronic pain 	ethanol	1.045454545	0.004396124	0.73863636375	0.44734108149539
Cystitis 	ethanol	1.045454545	0.004396124	0.73863636375	0.44734108149539
Insomnia 	ethinamate	0.5	0.027315115	0.875	0.759915570510543
Pain 	etodolac	0	0.000104466	1	0.999498689431439
Rheumatoid arthritis 	etoricoxib	0	0.003525365	1	0.999498689431439
Renal cell carcinoma 	everolimus	0	0.006830513	1	0.999498689431439
Kidney cancer 	everolimus	0	0.006830513	1	0.999498689431439
Hormonally-responsive breast cancer 	exemestane	0	0.006500999	1	0.916996180685167
Epilepsy 	felbamate	0.333333333	0.007846233	0.91666666675	0.827624363017613
Hypertension 	felodipine	0.769230769	0.005693804	0.80769230775	0.990765752129407
High cholesterol level 	fenofibrate	0.333333333	0.0020376	0.91666666675	0.998223773135608
Cardiovascular disease 	fenofibric acid	0.2	8.36e-06	0.95	0.998928908063831
Hypertension 	fenoldopam	0.375	5.83e-05	0.90625	0.812253019594901
Rheumatoid arthritis 	fenoprofen	0	3.87e-06	1	0.999498689431439
Asthma 	fenoterol	0	0.001211485	1	0.916996180685167
Analgesia 	fentanyl	0.5	0.005008215	0.875	0.759915570510543
Neutropenia 	filgrastim	0.5	0.042200802	0.875	0.996659662454039
Nocturia 	flavoxate	0	0.000320319	1	0.999498689431439
Urgency 	flavoxate	0	0.000320319	1	0.999498689431439
Dysuria 	flavoxate	0	0.000320319	1	0.999498689431439
Suprapubic pain 	flavoxate	0	0.000320319	1	0.999498689431439
