TTD_association	drug	proximity	pval	similarity	adjusted_similarity
Dravet syndrome 	cannabidiol	1.710526316	0.011362714	0.572368421	0.133068133960698
Dravet syndrome 	cannabidiol	1.789473684	0.038827963	0.552631579	0.505877494381337
Molluscum contagiosum infection 	cantharidin	0	0.005026772	1	0.999498689431439
Colorectal cancer 	capecitabine	0	0.001418066	1	0.999498689431439
Breast cancer 	capecitabine	0	0.001418066	1	0.999498689431439
Neuropathic pain 	capsaicin	1	0.036152176	0.75	0.945098078077383
Hypertension 	captopril	0.4	0.004132491	0.9	0.997713004352496
Hypertension 	captopril	1.4	0.030467365	0.65	0.250155464708731
Epilepsy 	carbamazepine	1.555555556	0.010661873	0.611111111	0.713359050810149
Postpartum haemorrhage 	carbetocin	1	0.000509398	0.75	0.939653140975545
Vasomotor/allergic rhinitis 	carbinoxamine	1	0.008116575	0.75	0.945098078077383
Abortion 	carboprost tromethamine	1	0.010384933	0.75	0.945098078077383
Abortion 	carboprost tromethamine	0	0.03295122	1	0.916996180685167
Bipolar disorder 	cariprazine	1.333333333	0.000246933	0.66666666675	0.282698225791934
Bipolar disorder 	cariprazine	0.666666667	1.05e-09	0.83333333325	0.982121775956082
Bipolar disorder 	cariprazine	0.5	0.003800369	0.875	0.759915570510543
Musculoskeletal disorder 	carisoprodol	2	0.026101818	0.5	0.271864846529077
Pain 	carprofen	0	0.003659981	1	0.999498689431439
Glaucoma/ocular hypertension 	carteolol	0	0.002927344	1	0.916996180685167
Glaucoma/ocular hypertension 	carteolol	1	0.026153288	0.75	0.475573630947114
Glaucoma/ocular hypertension 	carteolol	1.5	0.041546638	0.625	0.661048189545015
Glaucoma/ocular hypertension 	carteolol	0.5	0.022716858	0.875	0.759915570510543
Congestive heart failure 	carvedilol	0.444444444	1.68e-06	0.888888889	0.784334260371817
Congestive heart failure 	carvedilol	1.222222222	4.09e-05	0.6944444445	0.888166295431888
Constipation 	castor oil	0	0.000832077	1	0.999498689431439
Malignant pleural effusion 	catumaxomab	1.571428571	1.55e-06	0.60714285725	0.606304472333009
Bacterial infection 	cefazolin	1.333333333	0.003871212	0.66666666675	0.282698225791934
Bacterial infection 	cefazolin	0.333333333	0.001731031	0.91666666675	0.998223773135608
Bacterial infection 	cefdinir	0	0.023012062	1	0.916996180685167
Bacterial infection 	cefdinir	1	0.000137263	0.75	0.945098078077383
Cutaneous squamous cell carcinoma 	cemiplimab	1	0.000958758	0.75	0.939653140975545
Neurotrophic keratitis 	cenegermin	0	0.023296852	1	0.999498689431439
Hyperlipidaemia 	cerivastatin	0	0.03810181	1	0.999498689431439
Multiple myeloma 	cerivastatin	0	0.03810181	1	0.999498689431439
Tripeptidyl peptidase 1 deficiency 	cerliponase alfa	0	0.000778463	1	0.999498689431439
Neuronal ceroid lipofuscinosis 	cerliponase alfa	0	0.000778463	1	0.999498689431439
Allergic rhinitis 	cetirizine	1	0.000143541	0.75	0.945098078077383
Ovarian stimulation 	cetrorelix	0.5	0.018246327	0.875	0.996659662454039
Colorectal cancer 	cetuximab	1	2.07e-19	0.75	0.910611085269981
Sjogren syndrome 	cevimeline	0.5	0.046014821	0.875	0.996659662454039
Anxiety disorder 	chlordiazepoxide	1.846153846	0.033651776	0.5384615385	0.475053509225162
Bacterial infection 	chlorhexidine	0	0.01359838	1	0.999498689431439
Diagnostic imaging 	chlormerodrin	1.5	0.014010131	0.625	0.735272017343177
Anxiety disorder 	chlormezanone	0	0.012428583	1	0.999498689431439
Anaesthesia 	chloroprocaine	1.25	6.63e-06	0.6875	0.868009167412631
Anaesthesia 	chloroprocaine	1.25	0.000505795	0.6875	0.326780372623774
Malaria 	chloroquine	0	6.04e-05	1	0.999498689431439
Congestive heart failure 	chlorothiazide	1.333333333	0.010063658	0.66666666675	0.843611506693975
Allergic rhinitis 	chlorpheniramine	0.75	4.65e-09	0.8125	0.628833714233804
Allergic rhinitis 	chlorpheniramine	1.5	0.000301725	0.625	0.661048189545015
Allergic rhinitis 	chlorpheniramine	0.75	3.66e-08	0.8125	0.976247630772842
Allergic rhinitis 	chlorpheniramine	0.5	0.00501309	0.875	0.759915570510543
Schizophrenia 	chlorpromazine	0.5	2.06e-08	0.875	0.759915570510543
Schizophrenia 	chlorpromazine	1.307692308	4.45e-11	0.673076923	0.295875988340664
Schizophrenia 	chlorpromazine	1.615384615	0.000413402	0.59615384625	0.651064787356054
Non-insulin dependent diabetes 	chlorpropamide	0	0.011614785	1	0.999498689431439
Psychotic disorder 	chlorprothixene	0.5	1.82e-05	0.875	0.759915570510543
Psychotic disorder 	chlorprothixene	1.25	1.13e-09	0.6875	0.878194941649415
Psychotic disorder 	chlorprothixene	1.583333333	0.001545837	0.60416666675	0.174204589173168
Edema 	chlorthalidone	1	1.44e-08	0.75	0.945098078077383
Edema 	chlorthalidone	0.5	0.034943627	0.875	0.759915570510543
Hypertension 	chlorthalidone	1	1.44e-08	0.75	0.945098078077383
Hypertension 	chlorthalidone	0.5	0.034943627	0.875	0.759915570510543
Acute pain 	chlorzoxazone	0	0.005120837	1	0.916996180685167
Acute pain 	chlorzoxazone	1	0.045787005	0.75	0.945098078077383
Vitamin D deficiency 	cholecalciferol	0	0.013955718	1	0.999498689431439
Osteoarthritis 	choline magnesium trisalicylate	0	0.001764246	1	0.999498689431439
Inflammation 	choline salicylate	0.571428571	0.0023808	0.85714285725	0.995622925786853
Female infertility 	choriogonadotropin alfa	0	0.000741191	1	0.999498689431439
Musculoskeletal disorder 	chymopapain	1	0.006744007	0.75	0.945098078077383
Congestive heart failure 	cilazapril	1	0.003304639	0.75	0.475573630947114
Congestive heart failure 	cilazapril	1	0.002444564	0.75	0.910611085269981
Congestive heart failure 	cilazapril	0	9.27e-10	1	0.916996180685167
