disease	GeneID
Abnormalities	1610
Abnormalities	1613
Abnormalities	161582
Abnormalities	1616
Abnormalities	1617
Abnormalities	161742
Abnormalities	161835
Abnormalities	1621
Abnormalities	162540
Abnormalities	1628
Abnormalities	1630
Abnormalities	1636
Abnormalities	1641
Abnormalities	1642
Abnormalities	1644
Abnormalities	1649
Abnormalities	1653
Abnormalities	1672
Abnormalities	1674
Abnormalities	167681
Abnormalities	169026
Abnormalities	170302
Abnormalities	171023
Abnormalities	1717
Abnormalities	1718
Abnormalities	1719
Abnormalities	1728
Abnormalities	1734
Abnormalities	1736
Abnormalities	174
Abnormalities	1740
Abnormalities	1741
Abnormalities	1742
Abnormalities	1745
Abnormalities	1746
Abnormalities	1747
Abnormalities	1748
Abnormalities	1749
Abnormalities	175
Abnormalities	1750
Abnormalities	1756
Abnormalities	1757
Abnormalities	176
Abnormalities	1760
Abnormalities	1761
Abnormalities	1767
Abnormalities	1770
Abnormalities	1780
Abnormalities	1781
Abnormalities	1786
Abnormalities	1787
Abnormalities	1788
Abnormalities	17888
Abnormalities	1789
Abnormalities	1791
Abnormalities	1800
Abnormalities	1804
Abnormalities	1806
Abnormalities	1808
Abnormalities	1812
Abnormalities	18128
Abnormalities	18129
Abnormalities	1813
Abnormalities	1814
Abnormalities	1815
Abnormalities	1816
Abnormalities	18193
Abnormalities	182
Abnormalities	1821
Abnormalities	1822
Abnormalities	1824
Abnormalities	1827
Abnormalities	1829
Abnormalities	183
Abnormalities	1832
Abnormalities	1834
Abnormalities	1836
Abnormalities	1843
Abnormalities	185
Abnormalities	1855
Abnormalities	1856
Abnormalities	1859
Abnormalities	186
Abnormalities	1861
Abnormalities	1869
Abnormalities	1879
Abnormalities	1890
Abnormalities	1896
Abnormalities	18999
Abnormalities	19
Abnormalities	190
Abnormalities	1906
Abnormalities	1907
Abnormalities	1908
Abnormalities	1909
Abnormalities	191
Abnormalities	1910
Abnormalities	1911
Abnormalities	191585
Abnormalities	19242
Abnormalities	19271
Abnormalities	1945
Abnormalities	1947
Abnormalities	1950
Abnormalities	1956
Abnormalities	1959
Abnormalities	196
Abnormalities	1960
Abnormalities	1964
Abnormalities	197322
Abnormalities	1981
Abnormalities	1993
Abnormalities	199713
Abnormalities	2
Abnormalities	2006
Abnormalities	2018
Abnormalities	2019
Abnormalities	20190
Abnormalities	2020
Abnormalities	202051
Abnormalities	202052
Abnormalities	2022
Abnormalities	203228
Abnormalities	203286
Abnormalities	2033
Abnormalities	2034
Abnormalities	2035
Abnormalities	2040
Abnormalities	2041
Abnormalities	2048
Abnormalities	2049
Abnormalities	2050
Abnormalities	2052
Abnormalities	20526
Abnormalities	2058
Abnormalities	2060
Abnormalities	2064
Abnormalities	2065
Abnormalities	2066
Abnormalities	2067
Abnormalities	2068
Abnormalities	207
Abnormalities	2070
Abnormalities	2071
Abnormalities	2072
Abnormalities	2073
Abnormalities	2074
Abnormalities	2078
Abnormalities	208
Abnormalities	2099
Abnormalities	2100
Abnormalities	2103
Abnormalities	2113
Abnormalities	2114
Abnormalities	2119
Abnormalities	2120
Abnormalities	2121
Abnormalities	2122
Abnormalities	2138
Abnormalities	2139
Abnormalities	2146
Abnormalities	2147
Abnormalities	215
Abnormalities	2153
Abnormalities	2155
Abnormalities	216
Abnormalities	2161
Abnormalities	2162
Abnormalities	2168
Abnormalities	2169
Abnormalities	217
Abnormalities	2175
Abnormalities	2176
Abnormalities	2178
Abnormalities	2189
Abnormalities	2192
Abnormalities	2194
Abnormalities	2199
Abnormalities	219931
Abnormalities	2200
Abnormalities	2201
Abnormalities	220296
Abnormalities	2203
Abnormalities	2206
Abnormalities	221002
Abnormalities	221037
Abnormalities	2212
Abnormalities	221294
Abnormalities	2214
Abnormalities	221421
Abnormalities	2215
Abnormalities	2218
Abnormalities	221833
Abnormalities	221938
Abnormalities	222537
Abnormalities	222545
Abnormalities	2243
Abnormalities	2244
Abnormalities	2246
Abnormalities	2247
Abnormalities	2248
Abnormalities	2249
Abnormalities	2250
Abnormalities	2252
Abnormalities	2253
Abnormalities	2254
Abnormalities	2255
Abnormalities	2257
Abnormalities	2260
Abnormalities	2261
Abnormalities	2262
Abnormalities	2263
Abnormalities	2264
Abnormalities	2266
Abnormalities	2271
Abnormalities	2272
Abnormalities	2273
Abnormalities	22762
Abnormalities	22773
Abnormalities	22806
Abnormalities	2288
Abnormalities	22880
Abnormalities	22882
Abnormalities	2289
Abnormalities	22891
Abnormalities	22909
Abnormalities	2294
Abnormalities	22943
Abnormalities	22948
Abnormalities	2295
Abnormalities	22954
Abnormalities	2296
Abnormalities	22995
Abnormalities	2301
Abnormalities	23019
Abnormalities	2303
Abnormalities	2304
Abnormalities	23059
Abnormalities	2309
Abnormalities	23095
Abnormalities	231
Abnormalities	23111
Abnormalities	23112
Abnormalities	2312
Abnormalities	23133
Abnormalities	23150
Abnormalities	23152
Abnormalities	2316
Abnormalities	2317
Abnormalities	23171
Abnormalities	23191
Abnormalities	2321
Abnormalities	2322
Abnormalities	2324
Abnormalities	23245
Abnormalities	23259
Abnormalities	2326
Abnormalities	23274
Abnormalities	2328
Abnormalities	23286
Abnormalities	23293
Abnormalities	2330
Abnormalities	23304
Abnormalities	23314
Abnormalities	23316
Abnormalities	23317
Abnormalities	2332
Abnormalities	23321
Abnormalities	23328
Abnormalities	23331
Abnormalities	2334
Abnormalities	23345
Abnormalities	2335
Abnormalities	23382
Abnormalities	23395
Abnormalities	23400
Abnormalities	23405
Abnormalities	23406
Abnormalities	23411
Abnormalities	23414
Abnormalities	23426
Abnormalities	23435
Abnormalities	23438
Abnormalities	23451
Abnormalities	2346
Abnormalities	23462
Abnormalities	23463
Abnormalities	23476
Abnormalities	2348
Abnormalities	23493
Abnormalities	23495
Abnormalities	2350
Abnormalities	23503
Abnormalities	23513
Abnormalities	2352
Abnormalities	23531
Abnormalities	2356
Abnormalities	23560
Abnormalities	23562
Abnormalities	23569
Abnormalities	23594
Abnormalities	23600
Abnormalities	23607
Abnormalities	23621
Abnormalities	23627
Abnormalities	23639
Abnormalities	23657
Abnormalities	23705
Abnormalities	23742
Abnormalities	23743
Abnormalities	23746
